Image,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionText.started,InstructionText.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,DHimage.started,DHimage.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,8.350330240093172,None,space,0.32985522085800767,8.350330240093172,None,,,,,,,,1,001,2019_Dec_10_1043,trialloops-extreme-joehoang1,3.2.4,59.824579291759896,
pictures/3.jpg,s,0,0,0,2,,,,,,,8.812240994069725,None,s,1,0.34305535117164254,8.812240994069725,None,1,001,2019_Dec_10_1043,trialloops-extreme-joehoang1,3.2.4,59.824579291759896,
