Image,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionText.started,InstructionText.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,DHimage.started,DHimage.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,8.86930628074333,None,space,0.8016643933951855,8.86930628074333,None,,,,,,,,1,001,2019_Dec_10_1050,trialloops-extreme-joehoang1,3.2.4,60.21393322386306,
pictures/8.jpg,k,0,0,0,7,,,,,,,10.05990467267111,None,s,0,0.43724362598732114,10.05990467267111,None,1,001,2019_Dec_10_1050,trialloops-extreme-joehoang1,3.2.4,60.21393322386306,
