30.2457 	EXP 	New trial (rep=0, index=8): OrderedDict([('Image', 'pictures/11.jpg'), ('corrAns', 'k')])
30.2637 	EXP 	fb: autoDraw = False
30.2637 	EXP 	fb: autoDraw = False
30.2637 	EXP 	DHimage: image = 'pictures/11.jpg'
30.2637 	EXP 	DHimage: autoDraw = True
30.3542 	DATA 	Keypress: s
30.3773 	EXP 	DHimage: autoDraw = False
30.3773 	EXP 	fb: text = 'You are incorrect. Please try harder.'
30.3773 	EXP 	fb: autoDraw = True
32.3454 	EXP 	New trial (rep=0, index=9): OrderedDict([('Image', 'pictures/8.jpg'), ('corrAns', 'k')])
32.3631 	EXP 	fb: autoDraw = False
32.3631 	EXP 	DHimage: image = 'pictures/8.jpg'
32.3631 	EXP 	DHimage: autoDraw = True
35.4303 	DATA 	Keypress: escape
35.4746 	EXP 	window1: mouseVisible = True
