Image,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionText.started,InstructionText.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,DHimage.started,DHimage.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,8.843763855285943,None,space,0.7895826301537454,8.843763855285943,None,,,,,,,,1,001,2019_Dec_10_1044,trialloops-extreme-joehoang1,3.2.4,60.04216935555862,
pictures/9.jpg,k,0,0,0,8,,,,,,,9.724306730087847,None,s,0,0.8269118806347251,9.724306730087847,None,1,001,2019_Dec_10_1044,trialloops-extreme-joehoang1,3.2.4,60.04216935555862,
