Image,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionText.started,InstructionText.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,DHimage.started,DHimage.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,9.526986949611455,None,space,1.0385469901375473,9.526986949611455,None,,,,,,,,1,001,2019_Dec_10_1046,trialloops-extreme-joehoang1,3.2.4,59.98521802136373,
pictures/11.jpg,k,0,0,0,10,,,,,,,10.92797749163583,None,s,k,0.3113701771944761,10.92797749163583,None,1,001,2019_Dec_10_1046,trialloops-extreme-joehoang1,3.2.4,59.98521802136373,
