Image,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionText.started,InstructionText.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,DHimage.started,DHimage.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,8.942159051075578,None,None,8.942159051075578,None,,,,,,,1,001,2019_Dec_10_1036,trialloops-extreme-joehoang1,3.2.4,59.989310172711306,
pictures/4.jpg,s,0,0,0,3,,,,,,None,None,None,0,None,None,1,001,2019_Dec_10_1036,trialloops-extreme-joehoang1,3.2.4,59.989310172711306,
